2021-11-17 21:57:56 status half-configured libspeex1:arm64 1.2~rc1.2-1+b2
2021-11-17 21:57:56 status installed libspeex1:arm64 1.2~rc1.2-1+b2
2021-11-17 21:57:56 configure libshine3:arm64 3.1.1-2 <none>
2021-11-17 21:57:56 status unpacked libshine3:arm64 3.1.1-2
2021-11-17 21:57:56 status half-configured libshine3:arm64 3.1.1-2
2021-11-17 21:57:56 status installed libshine3:arm64 3.1.1-2
2021-11-17 21:57:56 configure libip4tc0:arm64 1.8.2-4 <none>
2021-11-17 21:57:56 status unpacked libip4tc0:arm64 1.8.2-4
2021-11-17 21:57:56 status half-configured libip4tc0:arm64 1.8.2-4
2021-11-17 21:57:56 status installed libip4tc0:arm64 1.8.2-4
2021-11-17 21:57:56 configure hicolor-icon-theme:all 0.17-2 <none>
2021-11-17 21:57:56 status unpacked hicolor-icon-theme:all 0.17-2
2021-11-17 21:57:56 status half-configured hicolor-icon-theme:all 0.17-2
2021-11-17 21:57:57 status installed hicolor-icon-theme:all 0.17-2
2021-11-17 21:57:57 configure libtwolame0:arm64 0.3.13-4 <none>
2021-11-17 21:57:57 status unpacked libtwolame0:arm64 0.3.13-4
2021-11-17 21:57:57 status half-configured libtwolame0:arm64 0.3.13-4
2021-11-17 21:57:57 status installed libtwolame0:arm64 0.3.13-4
2021-11-17 21:57:57 configure liblzma5:arm64 5.2.4-1 <none>
2021-11-17 21:57:57 status unpacked liblzma5:arm64 5.2.4-1
2021-11-17 21:57:57 status half-configured liblzma5:arm64 5.2.4-1
2021-11-17 21:57:57 status installed liblzma5:arm64 5.2.4-1
2021-11-17 21:57:57 configure libgpg-error0:arm64 1.35-1 <none>
2021-11-17 21:57:57 status unpacked libgpg-error0:arm64 1.35-1
2021-11-17 21:57:57 status half-configured libgpg-error0:arm64 1.35-1
2021-11-17 21:57:57 status installed libgpg-error0:arm64 1.35-1
2021-11-17 21:57:57 configure netcat-traditional:arm64 1.10-41.1 <none>
2021-11-17 21:57:57 status unpacked netcat-traditional:arm64 1.10-41.1
2021-11-17 21:57:57 status half-configured netcat-traditional:arm64 1.10-41.1
2021-11-17 21:57:57 status installed netcat-traditional:arm64 1.10-41.1
2021-11-17 21:57:57 configure libdatrie1:arm64 0.2.12-2 <none>
2021-11-17 21:57:57 status unpacked libdatrie1:arm64 0.2.12-2
2021-11-17 21:57:57 status half-configured libdatrie1:arm64 0.2.12-2
2021-11-17 21:57:57 status installed libdatrie1:arm64 0.2.12-2
2021-11-17 21:57:57 configure xdg-user-dirs:arm64 0.17-2 <none>
2021-11-17 21:57:57 status unpacked xdg-user-dirs:arm64 0.17-2
2021-11-17 21:57:57 status half-configured xdg-user-dirs:arm64 0.17-2
2021-11-17 21:57:57 status installed xdg-user-dirs:arm64 0.17-2
2021-11-17 21:57:57 configure traceroute:arm64 1:2.1.0-2 <none>
2021-11-17 21:57:57 status unpacked traceroute:arm64 1:2.1.0-2
2021-11-17 21:57:57 status half-configured traceroute:arm64 1:2.1.0-2
2021-11-17 21:57:57 status installed traceroute:arm64 1:2.1.0-2
2021-11-17 21:57:57 configure libmagic-mgc:arm64 1:5.35-4+deb10u2 <none>
2021-11-17 21:57:57 status unpacked libmagic-mgc:arm64 1:5.35-4+deb10u2
2021-11-17 21:57:57 status half-configured libmagic-mgc:arm64 1:5.35-4+deb10u2
